,Unnamed: 0,abstract,author,date,headline,section,source,word_count,id,candidate
79,79," Gingrich, who fell about 20 points in Iowa in 20 days after facing millions of dollars of televised attacks against him by a super political action committee that supports Romney, announced yesterday that he is planning a two-day bus tour of New Hampshire, ending speculation that he might join Bachmann in writing off the state.","Kranish, Michael",2012-01-04,"As eyes turn to N.H., front-runner becomes the target",National,Boston Globe,983.0,79,Romney
84,84," In a presidential primary season packed with debates, tonight's could be the most critical for Mitt Romney. Since he righted his campaign with robust debate performances and a strong primary win in Florida late last month, Romney has watched his momentum evaporate before a surprising surge from rival Rick Santorum.","Schoenberg, Shira",2012-02-22,Romney facing hurdle in debate,National,Boston Globe,792.0,84,Romney
88,88," Reiss highlighted several areas of disagreement that Romney has with the Obama administration's handling of the war in Afghanistan: allowing Hamid Karzai to win an election that many foreign observers considered rigged, announcing a timetable for withdrawal, and not having a broader civilian component to the war mission. Political observers say that Romney appears to be carefully calibrating his position to try to appease both those who are growing uneasy about the ongoing war and those who want to see him as strong on national security issues.","Viser, Matt",2011-06-16,Romney's remarks on Afghanistan exit stir GOP alarm,National,Boston Globe,919.0,88,Romney
90,90, On Point With Tom Ashbrook11 a.m. and 8 p.m. WBUR-FM (90.9) Mitt Romney's education reform plan. Radio Boston3 p.m. WBUR-FM (90.9) NightSide With Dan Rea8 p.m. WBZ-AM (1030) The future of the Pilgrim Power Plant.,,2012-05-29,Daily guide,Arts,Boston Globe,610.0,90,Romney
99,99," DETROIT - Mitt Romney set out yesterday to deliver a much-publicized speech thick with policy, one that would redirect the campaign conversation back to his experience in the economy, his prescriptions for reining in entitlement programs, and his ability to weave through tax policies involving terms such as ""C Corporations"" and ""Sub S."" Instead, it was an SRX that tripped him up. Some campaign watchers have blamed Romney's struggles on his difficulty in connecting with average voters, and Santorum increasingly is trying to target his pitch to blue-collar workers by playing up his working-class roots.","Viser, Matt",2012-02-25,"In Detroit, Romney says wife has 2 Cadillacs",National,Boston Globe,1114.0,99,Romney
111,111," Romney's strong performance in a trio of recent debates had helped his fund-raising by motivating his supporters, but it was not enough to move some of the fence-sitters over to his camp, according to the person, who spoke on the condition of anonymity because the campaign has not publicly released its numbers yet. Perry is also trying a late push to get as many as 18,000 donations by tonight, the same number of jobs that were lost in Massachusetts as a result of Romney's health care plan, according to a disputed study by the Beacon Hill Institute.","Viser, Matt",2011-09-30,Romney reportedly raised $11m to $13m in quarter,National,Boston Globe,868.0,111,Romney
122,122," [...]Romney runs the risk of alienatingthe growing number of Americans who say they are comfortable with gay marriage, and he also could face challenges in mobilizing young voters, who are far more willing to support it. ""Governor Romney is for an amendment to the US Constitution that would enshrine discrimination into our founding legal document,"" White House press secretary Jay Carney told reporters on Air Force One.","Viser, Matt",2012-05-11,Marriage issue to test Romney,National,Boston Globe,1127.0,122,Romney
126,126," TAMPA - Mitt Romney, backed by relentless attack ads, vocal support from the Republican establishment, and his own willingness to adopt a more aggressive tone, trounced Newt Gingrich in the Florida primary last night, gaining the upper hand as the race scatters to the seven states that vote over the next month.","Levenson, Michael; Viser, Matt",2012-02-01,Romney rolls in FloridaAggressive tack draws broad array of voters,National,Boston Globe,1086.0,126,Romney
129,129," Romney joined four other prospective GOP candidates - former governor Tim Pawlenty of Minnesota, Representative Michele Bachmann of Minnesota, former senator Rick Santorum of Pennsylvania, and businessman Herman Cain - at the forum held to discuss economic issues and budget priorities. Many political analysts have pointed out that the lack of foreign policy experience in the present field of prospective candidates - which does not include a sitting or former vice president, president, or senator for the first time in at least a half century - could hinder the GOP in a time of two wars and of protests that threaten to rearrange the political landscape of the Middle East.","Viser, Matt",2011-04-30,Romney stands by Bay State health law,National,Boston Globe,1399.0,129,Romney
137,137," The New Hampshire attorney general closed her case after finding no evidence that the worker, Jay Garrity, had used a law enforcement database to check a license plate, as he allegedly told a New York Times reporter who he felt had been trailing Romney's caravan too closely.","Johnson, Glen",2011-07-13,Parents chafe at Romney security,Metro,Boston Globe,523.0,137,Romney
138,138," Perry favors allowing the children of illegal immigrants in Texas to pay in-state tuition rates to public colleges and universities, an idea that Romney has blasted.","Johnson, Glen",2011-10-02,"Political Intelligence | COVERING POLITICS IN BOSTON, NEW ENGLAND, AND THE NATION Brown, others in Mass. GOP try to cast Warren as un-American Romney goes on the offensive in immigration debate Former transportation boss goes back to the law",Metro,Boston Globe,715.0,138,Romney
139,139," Herman Cain drew loud cheers from the audience as he defended himself once again against accusations of sexual harassment, and none of his rivals challenged him on the issue as the Republican presidential candidates met for their ninth debate last night. With less than two months until the Iowa caucuses and the New Hampshire primary, the candidates passed up repeated opportunities to challenge Mitt Romney, the presumptive front-runner, on his health care law in Massachusetts and the accusations that he frequently changes his policy positions.","Viser, Matt; Levenson, Michael",2011-11-10,Cain gets cheers and wide berth at debate,National,Boston Globe,1245.0,139,Romney
142,142," WASHINGTON - Senator Marco Rubio, considered an emerging voice of the Republican Party and a possible vice presidential candidate, said Wednesday night he was backing Mitt Romney, providing the former Massachusetts governor with one of the most prized endorsements of the presidential primaries.","Viser, Matt",2012-03-29,Florida's Rubio joins ranks of Romney backers,National,Boston Globe,832.0,142,Romney
152,152," STRATHAM, N.H. - Republican Mitt Romney launched his second bid for the presidency yesterday by focusing almost entirely on jobs and the deficit, saying the country needs someone with a business background to fix the ailing economy overseen by President Obama. [...] he also talked about his four-year term as governor, highlighting that he balanced the state budget without raising taxes - but neglecting to mention that he also raised fees for a host of services.","Viser, Matt",2011-06-03,"Officially in, Romney all about the economy",National,Boston Globe,1293.0,152,Romney
155,155," Romney had angered reproductive rights advocates in July 2005 when he vetoed a bill to make the morning-after pill available over the counter at Massachusetts pharmacies and to require hospitals to make it available to rape victims, even though he had supported emergency contraception during his 2002 campaign for governor.","Tracy, Jan",2012-02-03,Romney shifted on `conscience' issue,National,Boston Globe,1203.0,155,Romney
160,160," Rick Santorum and Mitt Romney yesterday accused each other of being unfit for the Republican presidential nomination in the finale to a primary vote today that could reshape the contest once again. Romney's campaign and the Restore Our Future super PAC that supports him spent $2.3 million to air ads 4,341 times on Michigan broadcast television stations through Feb. 23, according to data cited by Bloomberg News from New York-based Kantar Media's CMAG.","Viser, Matt; Bobby Caina Calvan",2012-02-28,Rivals trade last jabs in Michigan,National,Boston Globe,1346.0,160,Romney
164,164," The traditional outcasts - power-challenged in their home state and out-of-step with many in the national Republican Party - are now being treated as the kings of the court, by virtue of their connection to presumptive nominee Mitt Romney, the Bay State's former governor. What's it like living in a state that hasn't voted for a Republican president since 1984 - or was the only state to vote for Democrat George McGovern in 1972? ""We were treated like sideshow freaks,"" said state Senator Robert Hedlund, a Weymouth Republican who attended his first convention in 1988, where he protested nominee George H.W. Bush.","Viser, Matt",2012-05-04,State GOP prepares for center stage at convention,National,Boston Globe,946.0,164,Romney
168,168," Some also complain that Romney recently hired as his foreign-policy spokesman Richard Grenell, a former George W. Bush administration official who is gay and has expressed support for same-sex marriage.","Levenson, Michael",2012-05-01,Mitt Romney striving to win over the right,National,Boston Globe,1157.0,168,Romney
183,183," The first nominating contest is expected to be fewer than 90 days away and Romney's rounding into form may help his technocratic aura, even as some of the party's more ideological activists remain suspicious or skeptical of his core beliefs, particularly on social issues. Patrick Griffin, a New Hampshire-based political consultant who is unaligned in the presidential race, was impressed when he caught Romney for the first time in this cycle at a town hall meeting late last month at Saint Anselm College, where Griffin is a senior fellow at the New Hampshire Institute of Politics.","Mooney, Brian C",2011-10-18,Lessons from '08 strengthen Romney,National,Boston Globe,1392.0,183,Romney
195,195," The same outcome is possible this time. [...] Romney's rejection by the most conservative factions of the Republican Party is good news for him in a general election, when moderate is not a dirty word.","Vennochi, Joan",2012-03-15,Running on id,Editorial,Boston Globe,712.0,195,Romney
197,197," When Mitt Romney's longtime campaign adviser Eric Fehrnstrom was asked on CNN if Romney risked losing moderate voters by appearing too conservative in the Republican primaries, Fehrnstrom replied: I think you hit a reset button for the fall campaign. Protestant ministers from London to Boston--important community and political leaders of their day--prided themselves on being sincere and speaking from the heart (thus the invention of the sermon; reading from prepared texts was for Anglicans).","Magill, R Jay, Jr",2012-04-01,The case against sincerity in politics,Ideas,Boston Globe,1793.0,197,Romney
215,215," [...] the decision in Nevada, combined with scheduling restrictions from New Hampshire election laws and traditions, could push the Iowa caucuses into Christmastime, a prospect Gardner seeks to avoid. Romney criticized over appearance at summit Republican presidential candidate Mitt Romney is taking flak from a progressive group for planning to speak this weekend at a Values Voter Summit immediately before a controversial conservative figure.","Schoenberg, Shira",2011-10-07,Nevada caucus could push N.H. to Dec.,National,Boston Globe,890.0,215,Romney
226,226," [...] Perry's strong opposition to abortion rights and gay rights, and his open embrace of Christianity, put him to the right of the state GOP, which has traditionally nominated moderates, such as former governor William F. Weld, who espouse a mix of fiscal conservativism and liberal social views.","Levenson, Michael",2011-09-14,"In Bay State, Perry takes aim at Romney",National,Boston Globe,1070.0,226,Romney
238,238," Guests: Governors Deval Patrick of Massachusetts and John Kasich of Ohio; Kasim Reed, mayor of Atlanta; Kevin Madden, Romney adviser; Steve Schmidt, former McCain 2008 strategist; Neera Tanden, president of the Center for American Progress; Bill Bradley, former senator from New Jersey. 10:30 a.m. (7) This Week in Business.Topics: Regional job growth; Boston's innovation district; bringing a casino to Suffolk Downs; expanding the Convention Center; summer jobs; Boston as a biking city; US jobless figures; Curt Schilling's company faces independent audit; Massachusetts as a big data research hub.",,2012-06-03,Late TV Listings,National,Boston Globe,363.0,238,Romney
239,239, Unions plan to boycott Democrats' convention WASHINGTON - More than a dozen trade unions are planning to sit out the 2012 Democratic convention because they are angry it will be held in a right-to-work state.,"Schweitzer, Sarah",2011-08-13,Romney defends his comments about corporations,National,Boston Globe,391.0,239,Romney
243,243," At the event, Romney delivered a 15-minute stump speech, promoting his experience in the private sector, decrying the ballooning national deficit, and declaring that if he wins the New Hampshire primary, he will win the Republican presidential nomination.","Levenson, Michael",2011-11-19,Romney backs aides on '06 purchase of hard drives,National,Boston Globe,913.0,243,Romney
245,245," The upcoming Republican primary calendar holds a dwindling number of opportunities for the former senator, making it difficult for him to rebound from the defeat he suffered Tuesday in Illinois. Polls of voters in Illinois Tuesday demonstrated that Santorum won the support of ""very conservative"" voters, 48 percent to 33 percent, while Romney captured most of the votes from those who were somewhat conservative, moderate, or liberal, according to CNN.","Rowland, Christopher",2012-03-21,Going gets tougher for Santorum as focus shifts north,National,Boston Globe,982.0,245,Romney
251,251," Rick Perry and Mitt Romney, after weeks of subtle jabs at each other on the campaign trail, abandoned all prior graciousness during a debate last night and began vigorously squaring off over Social Security, health care, and who has the best record as a job creator. Romney's record on health care came under renewed scrutiny, with no candidate on the stage approving of Romney's decision to support a mandate that Massachusetts residents obtain health insurance.","Viser, Matt",2011-09-08,"Perry, Romney spar in debate",National,Boston Globe,1373.0,251,Romney
261,261," MIAMI - A combative Newt Gingrich and his GOP rival Mitt Romney, relying more on projecting a sense of sincerity, courted South Florida's potent Hispanic vote yesterday in a tightening race in the state. During an interview with the Spanish-language network Univision, Gingrich ridiculed Romney for suggesting during a debate Monday that illegal immigrants would return to their own countries through ""self-deportation"" if employers demanded they show a government-issued ID to keep working in the United States.","Johnson, Glen",2012-01-26,"Gingrich, Romney ramp up fight for Fla. Hispanic vote",National,Boston Globe,900.0,261,Romney
264,264," Everybody seemed pretty happy with it at the time, even National Rifle Association types, who extracted some concessions in return for the ban on AK-47s, Uzis, and other exotics. [...] the national electorate has lurched to the right, forcing Romney into inelegant contortions to explain even positions considered firmly Republican a few years ago.","Abraham, Yvonne",2011-09-08,Shot through with humor,Metro,Boston Globe,655.0,264,Romney
268,268," [...] with Newt Gingrich having caught the Tea Party trade winds, Romney is scrambling to chart a new course. Temperamental outbursts can create problems if they drive talented people away or turn an important decision-maker's inner circle into a group of eager-to-placate yes-men and women who tiptoe around a short-tempered boss.","Lehigh, Scot",2011-12-09,When Romney gets rattled,Editorial,Boston Globe,688.0,268,Romney
271,271," After The Washington Post published a story last week on the half-century-old incident, Romney's explanation - ""back in high school, I did some dumb things, and if anybody was hurt by that or offended by that, I apologize"" - was sufficient to stanch the political damage.",Anonymous,2012-05-15,Romney:A 'presidential moment',EditorialOpinion,Boston Globe,215.0,271,Romney
278,278," Beginning April 16, Murray will lead a five-day trade mission to the Nordic country, holding a series of meetings with government officials and business executives, with the goal of drumming up investment in Massachusetts' medical device, research and development, and life sciences industries.","Levenson, Michael",2011-04-10,Murray leading a junket to explore greater Bay State trade with FinlandDemocrats celebrate health law - with special thanks to RomneyPatrick begins his book tour on `Today' show,Metro,Boston Globe,624.0,278,Romney
284,284," Polls indicate Pennsylvanians are just as torn about Santorum today as they were six years ago, when he failed in his reelection bid for a third term, losing to Democrat Bob Casey by 18 points, the widest margin anyone can remember. According to recent polls, Romney has been cutting into Santorum's lead.",Bobby Caina Calvan,2012-04-07,Santorum moves fuel predictions he will exit,National,Boston Globe,1158.0,284,Romney
288,288," The measure, which the White House named after billionaire investor Warren Buffett, calls for extremely wealthy taxpayers to pay at least 30 percent of their income in federal taxes.","Bender, Bryan",2012-04-13,"In New Hampshire, Biden raps Romney's tax stance for the rich",National,Boston Globe,848.0,288,Romney
291,291," A mother of five sons and grandmother to 16, she speaks to campaign gatherings about her husband's commitment to his family and his respect for her role raising the family; she takes a pass on policy debates. Though there is no cure for multiple sclerosis, doctors have recommended ways to manage symptoms, ranging from physical or occupational therapy, to the use of wheelchairs or walkers, to stress management, nutrition, exercise, and alternative therapies such as reflexology.","Schoenberg, Shira",2011-09-22,Trail no obstacle for Ann Romney,National,Boston Globe,1292.0,291,Romney
294,294, WASHINGTON - A $1 million contribution from an obscure firm to a political action committee run by former aides of Republican presidential candidate Mitt Romney prompted calls for an inquiry and concern among campaign finance specialists that the donor may be trying to circumvent federal law.,"Slack, Donovan",2011-08-05,Mystery donation to PAC for Romney draws scrutiny,National,Boston Globe,770.0,294,Romney
305,305," A Dan Wasserman editorial cartoon editorial cartoon depicts Republican presidential candidate W. Mitt Romney imagining his rival Newt Gingrich ""self-deporting.""",Dan Wasserman,2012-01-28,Editorial cartoon,,Boston Globe,,305,Romney
309,309," The 10 primaries and caucuses to be held in two days - collectively known as ""Super Tuesday"" - once seemed like the date on which Mitt Romney would wrap up the Republican presidential nomination he has so determinedly sought. By this time, according to the Romney game plan, party activists would join the establishment in coalescing around him, his opponents' money would dry up, and he would start moving toward the political middle to woo independents.","Kranish, Michael; Viser, Matt",2012-03-04,Another trial by primary for Mitt Romney,National,Boston Globe,1426.0,309,Romney
311,311," WASHINGTON - Mitt Romney proposed a significant restructuring of the American education system on Wednesday, one that would revamp funding formulas, encourage more charter schools, and revive the debate over how poor and disabled students choose the schools they attend.","Viser, Matt",2012-05-24,Mitt Romney proposes overhaul of US education system,National,Boston Globe,1072.0,311,Romney
316,316," [...] right from the start, from the Arab Spring to the craziness of the Republican nomination process to bin Laden taking one in the head, it's been spectacularly busy. Q. Speaking of Republicans, can you imagine any of these presidential candidates being elected? A. I think Romney, against all the desires of the party, is going to be the nominee.","Shanahan, Mark",2011-10-27,This comic stands up to America,Living Arts,Boston Globe,778.0,316,Romney
322,322," Romney, pointing to controversial remarks in Perry's book ""Fed Up!"" continued to attack the Texas governor for calling Social Security a ""Ponzi scheme"" and a ""monstrous lie,"" and for arguing that it should be run by the states, not the federal government.","Levenson, Michael; Viser, Matt",2011-09-23,"Romney, Perry keep up fight in Fla. debate",National,Boston Globe,1162.0,322,Romney
323,323, The only big difference is he didn't have to pay for his. Because the federal government paid for it.,"Mooney, Brian C",2011-11-18,Economist says Romney `lying' remark too harsh,National,Boston Globe,495.0,323,Romney
324,324," For both Romney and Jon Huntsman, the path to the presidency is the same: appease evangelical Christians to win the GOP nomination, then assuage social liberals in a general election.","Weiss, Joanna",2011-07-05,Mormons on center stage,Opinion,Boston Globe,782.0,324,Romney
329,329," Yet he also differentiated himself from the only other former business executive in the field, onetime Godfather's Pizza chief executive Herman Cain, by embracing his four-year tenure as governor of Massachusetts. According to The New York Times, he added: ""Running a state is different than running a business.""","Johnson, Glen",2011-08-16,"Romney says his business, political acumen gives him edge",National,Boston Globe,886.0,329,Romney
356,356," While voters in 10 states cast ballots on the day known as Super Tuesday, much of the evening's focus was on Ohio, which plays a pivotal role in general elections and has become one of the defining battlefields of the primary campaign. In an era where super PACs can flood the contest with new money from a single donor - and where each time it has appeared Romney could lock up the nomination, the race only became more fluid - the mixed results on Tuesday brought more uncertainty to the nomination.","Viser, Matt; Bobby Caina Calvan; Kranish, Michael",2012-03-07,"Romney wins big, but rivals hang in",National,Boston Globe,1359.0,356,Romney
360,360, What was he doing at Freddie Mac? Because Freddie Mac figures in very prominently to the fact that people of Florida have seen home values go down.,"Viser, Matt; Levenson, Michael",2012-01-23,Romney laboring to regain advantage,National,Boston Globe,1144.0,360,Romney
368,368," There are still no plans for Mitt Romney to dip into his personal fortune, as he did four years ago, to bankroll his candidacy, several campaign advisers said this week, even as the battle for the Republican presidential nomination looks increasingly like it will be a long and expensive fight.","Mooney, Brian C",2012-03-16,"With donors tough to find, Romney faces dilemma",National,Boston Globe,1084.0,368,Romney
370,370," According to Gallup's tracking polls, only 30 percent of Republican voters say that Romney is the candidate they would prefer to nominate.","Jacoby, Jeff",2012-01-11,`Acceptable' is pronounced `winner',Editorial,Boston Globe,373.0,370,Romney
377,377," Ann Romney has been described by campaign officials and friends as her husband's most valuable surrogate as he fights for the Republican presidential nomination. In recent days, Romney has appealed specifically to women on economic issues - helping her husband convey his economic message, and perhaps trying to appeal to independent women turned off by the Republican candidates' recent focus on limiting access to contraception.","Schoenberg, Shira",2012-03-22,Ann Romney's crucial role: Show her husband's human side,National,Boston Globe,1105.0,377,Romney
378,378," A Dan Wasserman editorial cartoon spoofs Gov. Rick Perry of Texas challenging Mitt Romney on illegal immigration October 18, 2011, during the Republican Presidential debates, calling it the ""height of hypocrisy"" that the former Massachusetts governor takes a hard-line stance given that illegal immigrants had landscaped the lawn at his Belmont home just a few years ago.",Dan Wasserman,2011-10-20,Editorial cartoon,,Boston Globe,,378,Romney
379,379," Romney yesterday also called for reducing the 35 percent corporate income tax rate to 25 percent; implementing free trade agreements with Colombia, Panama, and South Korea; and directing the Department of the Interior to work with energy companies to survey energy reserves and lease all areas currently approved for exploration.","Viser, Matt",2011-09-07,"Romney plan calls for middle class tax cuts, sanctions on China",National,Boston Globe,804.0,379,Romney
421,421," Unless we are running for president, most of us will not have our youthful transgressions exposed for all the world to see.",,2012-05-22,Romney's reaction to bullying story raises questions,EditorialOpinion,Boston Globe,158.0,421,Romney
422,422," The question is, has this recovery been as speedy as it should have been. . . . [and] has the president been willing to take on the looming challenges we face to make sure that we have a bright future? Bachmann calls deal on payroll tax a mistake CHARITON, Iowa - Michele Bachmann already sent her bus driver home for Christmas.","Viser, Matt",2011-12-24,Romney says Biden lives in `fantasy land',National,Boston Globe,744.0,422,Romney
424,424," Romney's strength with female voters - they support him by about five percentage points more than men do - was not something he saw in his 2002 campaign for governor nor his 2008 presidential run. According to a Fox News poll, Romney got the support of 23 percent of Republican women nationally, compared with 17 percent for Georgia businessman Herman Cain; 11 percent for Governor Rick Perry of Texas; and 10 percent for Newt Gingrich, former House speaker.","Viser, Matt",2011-11-07,Female voters drawn to Romney this time,National,Boston Globe,1206.0,424,Romney
429,429," [...] of two stories on Mitt Romney and the state health care overhaul. [...] there is no significant constituency here for repeal. [...] while health care costs continue to grow at alarming rates, as they have nationally, the consensus of industry leaders and health care economists is that this trend cannot be fairly traced to the makeover but rather to cost pressures baked into the existing health care payment system.","Mooney, Brian C",2011-06-26,`RomneyCare' - a revolution that basically worked,Metro,Boston Globe,4737.0,429,Romney
438,438," First in a series on Mitt Romney and the Massachusetts health care overhaul . For two years, they had grappled with the abstruse complexities of health care reform, sifting data, evaluating input from experts, and testing theories to craft a plan that would expand coverage to nearly everyone in the state and not break the bank.","Mooney, Brian C",2011-05-30,Romney and health care: In the thick of history,National,Boston Globe,5155.0,438,Romney
440,440," MANCHESTER, N.H. - Ron Paul, who for years had been cast as the GOP's fringe also-ran presidential candidate, claimed the runner-up position against the political juggernaut of Mitt Romney, giving the Texas congressman much-needed momentum as the campaign heads south, first to South Carolina and then Florida.",Bobby Caina Calvan,2012-01-11,Paul gains momentum with runner-up finish,National,Boston Globe,601.0,440,Romney
455,455," The blunt-talking New Jersey governor is considered a rising star in the party and has won praise from Tea Party activists and establishment Republicans. [...] last week, he was the subject of an intense courtship by Republican donors and party elders to seek the presidential nomination.","Schoenberg, Shira; Katz, Alex",2011-10-12,Christie says he'll back Romney,National,Boston Globe,750.0,455,Romney
456,456," On coverage of his real estate debt and sprawling home: ""As if Ted Kennedy, or Mitt Romney or John Kerry could own a nice home, but not Deval Patrick.""",Anonymous,2011-02-09,In his own words,Metro,Boston Globe,131.0,456,Romney
472,472," In turning to Santorum, voters in Missouri, Minnesota, and Colorado revived an alternative who, while lacking Romney's money, organization, and establishment support, offers a homespun conservative sensibility, unbending Christian conservative convictions, and a message acknowledging the struggles of blue-collar workers. [...] in racing toward the general election, Romney may have lost sight of the unease he continues to stir among some Tea Party adherents, evangelical voters, and conservatives, who hold sway in the primaries and caucuses, some Republican leaders said.","Levenson, Michael",2012-02-09,Santorum surge is telling for Romney,National,Boston Globe,865.0,472,Romney
480,480," Democrats themselves are already attacking Perry's job-creation record in Texas, saying it has been rooted in low-wage jobs or those poached from other states. [...] if Romney's critics say he is vulnerable for imposing a mandate to buy health insurance in Massachusetts, Perry could face criticism for trying to mandate that all teenage girls in Texas receive the human papillomavirus vaccine to guard against the sexually transmitted infection.","Johnson, Glen; Viser, Matt",2011-08-17,Romney stands firm amid Perry whirl,National,Boston Globe,1181.0,480,Romney
492,492," A Dan Wasserman editorial cartoon depicts 2012 Republican Presidential candidate W. Mitt Romney asking someone to ""check the lighting"" because Sarah Palin's shadow is showing up in the background.",Dan Wasserman,2011-06-05,Editorial cartoon,,Boston Globe,,492,Romney
496,496," Waltham Our focus on wealth defies snooze button IN ""ROMNEY'S returns open a window on the wealthy"" (Page A1, Jan. 25), Eric Fehrnstrom, a senior adviser to Mitt Romney, may claim that disclosure of the candidate's recent tax returns puts the controversy around tax rates for the wealthy to bed.","McCarthy, Courtney",2012-01-30,ROMNEY'S TAX RETURNS,Letters,Boston Globe,303.0,496,Romney
502,502," Newt Gingrich called Mitt Romney a liar yesterday for saying he has no role in or responsibility for a barrage of negative television ads credited with damaging the former House speaker's campaign in Iowa. During an interview with CBS News, Gingrich, who was leading the polls in Iowa just three weeks ago, said ""baloney"" to the idea that Romney had nothing to do with the ads from an independent group, a super PAC called Restore Our Future, which is backing the former Massachusetts governor.",Bobby Caina Calvan,2012-01-04,Gingrich calls Romney liar over role in ads,National,Boston Globe,929.0,502,Romney
