News ID,Quote,Source Name,Source ID,Target ID,Target Name,Ann1,Ann2,Ann3,Ann4,Agreement,
AfghanistanSun-90272f9b605be1b08cad33772f7a30d1,"President Bush has left President Obama a hard hand to play: an economy in crisis and a budget in deep deficit, in deficit this year alone by $1.752 trillion,",John Spratt,14848,1,George W. Bush,NEG,,,NEG,TRUE,
kyivpost-30efe8333a3e79782870e20b75b766c2,"No one should expect a lot of Bush nostalgia on this trip,",Charles Kupchan,85913,1,George W. Bush,NEG,,,NEG,TRUE,
TheFrontierPost-en-9c444aa4ab7d99d86879bc6fbdd0d08a,"Some of the policies followed by President Bush have given rise to a lot of anti-American feeling in Pakistan,",Sharif,631,1,George W. Bush,NEG,,,NEG,TRUE,
guardian-89ad27fb7011620f19720fc672b1f600,"All parts of the Labour party, from Tony Blair, the parliamentary Labour party, constituents and unions, agreed in 2004 that the Royal Mail would continue to belong to the people, and this pledge was included in the election manifesto ... in 2005.",Paul Kenny,57984,2,Tony Blair,NEG,,,NEG,TRUE,
earthtimes-64a4e6e0dc7d8440448621686c1c62ab,"This was a great meeting where we discussed the key issues surrounding climate change policy with international leaders, such as former Prime Minister Tony Blair , who have already gained valuable insight on how such policies may affect manufacturing and economic opportunities,",Stabenow,49816,2,Tony Blair,POS,,,POS,TRUE,
dailymail-be691eeeedee8e7d24eca8299e84937c,This confirms the widely held suspicions that leading officials and political advisers close to Tony Blair were deliberately tweaking the presentation of the intelligence to bolster the case for war on Iraq.,Ed Davey,5591,2,Tony Blair,NEG,,,NEG,TRUE,
middle-east-online_en-6d1aec3c118978f0c9697ccab543710e,"I accept with pleasure the invitation from my friend Berlusconi... now that a spirit of friendship and cooperation prevails,",Gathafi,262,7,Silvio Berlusconi,POS,,,POS,TRUE,
reuters-1405dc458cdbf21a4ee8ac0b22f20bef,"Chairman Kerry plans to hold a confirmation hearing for Assistant Secretary Hill as soon as possible, at which all views and concerns that senators may have can be aired,",Frederick Jones,161083,10,John Kerry,,,,,TRUE,
javno-en-a46f6bcd3a05718d9cab0f8483a6533e,"When I came out of maternity leave, I met Nicolas Sarkozy and we talked about my future. He convinced me that political involvement exists in different forms,",Dati,335287,11,Nicolas Sarkozy,,,,,TRUE,
peopledaily-056954686853e5495b25219066bed295,"It is now of course up to the French parliament to state its position, but the president (Sarkozy) has clearly indicated that the process that should lead France to resume its full place (in NATO) has reached its final stage,",de Hoop Scheffer,86,11,Nicolas Sarkozy,,,,,TRUE,
channelnewsasia-236f8affeb1bb8f1b355137200952158,"Nicolas Sarkozy and (German Chancellor) Angela Merkel let it be known that France and Germany would not agree to Luxembourg, Austria or Belgium being put on a tax haven list,",Juncker,77,11,Nicolas Sarkozy,,,,,TRUE,
AfghanistanSun-843f95b89551a2fecf717cec3c8d434b,"The secretary-general and Bill Clinton will bring a strong message of hope that Haiti is still winnable,",Montas,533708,17,Bill Clinton,POS,,,POS,TRUE,
guardian-c0b9fe126369ab8d022bb332d64cfd5d,"Bill Clinton has a matchless talent for bringing people together and inspiring them to work for a higher purpose,",Luis Alberto Moreno,161381,17,Bill Clinton,POS,,,POS,TRUE,
CBSnews-e07ba1391b3001fb874203c89a41058a,"presents a critical assessment of Sen. Clinton's political background, character, and fitness for office does not convert the movie ... into an appeal to vote against Sen. Clinton,",Theodore Olson,75213,17,Bill Clinton,,,,,TRUE,
nzherald-6b322150fbae6fad25327245a7a52796,"The fact that Hillary presents a critical assessment of Senator Clinton's political background, character, and fitness for office does not convert the movie ... into an appeal to vote against Senator Clinton,",Theodore Olson,75213,17,Bill Clinton,,,,,TRUE,
reuters-c28fddc6c9045066eb13fb342f6770a7,"This cohesion around the party of the majority, its chairman (Prime Minister) Vladimir Putin and President Dmitry Medvedev... this support is crucial today when the economic crisis is trying to grip Russia,",Gryzlov,24672,24,Vladimir Putin,POS,,,POS,TRUE,
bbc-215c85ddd4c92be2fb5659e62d6eed78,"Even in December [President Medvedev] said that Parliament was not working hard enough, that it was only undertaking 30% of the measures set down to tackle the financial crisis. He didn't name Vladimir Putin personally, of course, but still?",Oreshkin,645757,24,Vladimir Putin,NEG,,,NEG,TRUE,
bbc-8ec04010db40eb22878ec4b9bae19b24,"Even in December [President Medvedev] said that Parliament was not working hard enough, that it was only undertaking 30% of the measures set down to tackle the financial crisis. He didn't name Vladimir Putin personally, of course, but still?",Oreshkin,645757,24,Vladimir Putin,NEG,,,NEG,TRUE,
thestar-f023b3354648ff487f2a4f8024c2f585,"As long as Putin and his people control the Kremlin, they'll do everything they can to keep Khodorkovsky in jail for as long as possible,",Nevzlin,60277,24,Vladimir Putin,NEG,,,NEG,TRUE,
sptimesrussi-4d89209ca6d3b3831bca8d52f5d8ead9,"Because he was voted for as [Putin's] successor, he has to maintain a balance between continuity and his liberal initiatives,",Makarkin,189065,24,Vladimir Putin,,,,,TRUE,
xinhuanet_en-b216625865c9f6a5b2a37803ab642423,"Certainly, the crisis is a problem, but as Prime Minister Putin said, there will be no tragedy,",Peskov,49510,24,Vladimir Putin,,,,,TRUE,
bday-d43c8fb9649ef9282be34138b97caf65,"Former president Mbeki wishes to invite anyone who has such evidence to hand it over to the law enforcement agencies so that legal remedies are sought by any party that believes that it may have been unduly compromised,",Ratshitanga,83515,25,Thabo Mbeki,,,,,TRUE,
alertnet-6f9b65b6f9349f894faab0fa1574b0c8,"We are very disappointed with Osama bin Laden's call for fighting in Somalia when we already have a government,",Ahmed,281708,28,Osama bin Laden,NEG,,,NEG,TRUE,
apakistannews-e71ffb35b17f49a063e36700981d523c,We never wanted to take oath from Pervez Musharraf but we had to take that painful step on the demand of Zardari Sahab.,Nawaz Sharif,631,31,Pervez Musharraf,NEG,,,NEG,TRUE,
dailyexpress-b19f04c823b03a2204a00de915a16d8a,"No one will believe this synthetic outrage. This all happened on Gordon Brown's watch as a result of his policies. That makes him part of the problem, not the solution.",George Osborne,19267,36,Gordon Brown,NEG,,,NEG,TRUE,
dailymail-3c098c4667cbae235b3e8c0cc05ee09f,It's time for Gordon Brown and his colleagues to break the spell Peter seems to have over the higher echelons of Government.,Peter Kilfoyle,16361,36,Gordon Brown,,,,,TRUE,
WashingtonPost_B-34f5e6e7d40b14cd4ef8f5f3e0c1987a,"These things are normally mostly ceremonial, but Brown's speech to Congress is the biggest single event of the trip,",Kellner,118599,36,Gordon Brown,POS,,,POS,TRUE,
news-yahoo-860bd2044f174c859c71627fdef0df77,"I'm deeply grateful to Her Majesty the Queen and to Prime Minister Brown for this extraordinary honor. I have always prized the opportunity to work with the British government and strengthen and deepen the role of our two countries as leading beacons of democracy in the world,",Kennedy,642,36,Gordon Brown,POS,,,POS,TRUE,
thesun-973cfcfb886ac8ca7a648339cebe3379,"Gordon Brown is deeply implicated in the mistakes of the past. Even if he won't apologise, he can't escape them.",George Osborne,19267,36,Gordon Brown,NEG,,,NEG,TRUE,
bbc-e07a70c2b186e7d01651b73765712ed0,Gordon Brown seemed to offer a lot of warm words but very few hard plans to fight the recession which has engulfed the world economy and his government.,Vince Cable,2700,36,Gordon Brown,NEG,,,NEG,TRUE,
bbc-e07a70c2b186e7d01651b73765712ed0,"It is right [of Mr Brown] to remind Americans that we need to work together against protectionism, in defeating terrorism and in combating climate change.",William Hague,9826,36,Gordon Brown,POS,,,POS,TRUE,
channel4news-ed586bde688d619bee188e22db5c137d,Gordon Brown's conference speech should be the shortest in political history. Just one word - sorry.,William Hague,9826,36,Gordon Brown,NEG,,,NEG,TRUE,
icWales-d4589fbba2b24a17f6661600ac990ab0,"I don't say there is any lack of personal chemistry between Gordon Brown and Obama. I think they have very, very similar views of the application of principles of Keynesism to combat recession. They are absolutely as one, but beyond that it will have to evolve over the next year or so... I know as far as Gordon is concerned he does regard this G20 meeting in early April as unbelievably important to try and resuscitate the ailing world economy.",Morgan,654,36,Gordon Brown,POS,,,POS,TRUE,
guardian-3e2d733ec415b9b3d1fb6bed6d582cc7,"This is a stark illustration of the true cost of Labour's Age of Irresponsibility. Thanks to the failings of the banking regulatory framework that Gordon Brown put in place, we have spent more than twice as much on bailing out the banking system as the United States % and taxpayers are on the hook for billions of pounds as a result.",Philip Hammond,12637,36,Gordon Brown,NEG,,,NEG,TRUE,
glasgowherald-ac19a757119454604095eaf3a62c8ec0,"Gordon Brown's speech shows that he is in complete denial about how wrong he has been for 12 years, and his own responsibility for the banking crisis.",Alex Salmond,2170,36,Gordon Brown,NEG,,,NEG,TRUE,
dailymail-9d742ece2df3e39458f86ccf7861b3b0,"Bin taxes are now dead in the water. 'This is a major snub for Gordon Brown and his ministers. These unpopular taxes would harm the environment by fuelling fly-tipping and backyard burning, and hike tax bills for struggling families.",Caroline Spelman,11242,36,Gordon Brown,NEG,,,NEG,TRUE,
thetimes-9e51ab896ce8734bb5acc107f7319b57,"Last autumn Gordon Brown was boasting about how he masterminded the Lloyds takeover of HBOS and now he's saying it's got nothing to do with him. Macavity is back,",Osborne,19267,36,Gordon Brown,NEG,,,NEG,TRUE,
dailymail-4c5f242d2f3930cce971c128ce8721de,"We have long argued that banks should be required to put aside capital in the good times to deal with the bad. 'It is a shame the regulatory system created by Gordon Brown failed to ensure this, so the banks failed to fix the roof when the sun was shining.",George Osborne,19267,36,Gordon Brown,NEG,,,NEG,TRUE,
independent-f6d5fdde3d7f9341118db8e1972aaa15,"Central to Gordon Brown's attempt to draw a political dividing line with the Conservatives in the run up to the Budget, has been his claim that the whole world is signed up to yet more debt-funded fiscal stimulus.",George Osborne,19267,36,Gordon Brown,NEG,,,NEG,TRUE,
swissinfo-ee8c42c7cfb94078eb0d75964321eba6,"I put the question of this famous black list to Gordon Brown, and he told me that he shared my concern and that everything had to be done to avoid such a situation,",Merz,22762,36,Gordon Brown,,,,,TRUE,
thesun-cc7080dc1d2f4506d275298b4660d08c,Gordon Brown should stop dithering and stop these plans in their tracks.,George Osborne,19267,36,Gordon Brown,NEG,,,NEG,TRUE,
sundaytimes-ec55e95d53df1e4161e73cc2bdbf4253,"Whilst taxpayers are shelling out for more jobs in the public sector, Gordon Brown is allowing companies to go to the wall,",Theresa May,36170,36,Gordon Brown,NEG,,,NEG,TRUE,
guardian-4b31e071d1a97c5ff7ad109f76cf170e,"Gordon Brown's message that he wants to see the number of nuclear weapons reduced, that UK numbers are not fixed and that he is ready to work reduce them further, is a significant step towards a safer and eventually nuclear-weapon-free world,",Griffiths,39364,36,Gordon Brown,POS,,,POS,TRUE,
bbc-18c5fba625a68f999a737e1cd1b96053,Gordon Brown is spending taxpayers' money on the latest digital gimmicks... but can't be bothered to give out a simple email address.,Francis Maude,88339,36,Gordon Brown,NEG,,,NEG,TRUE,
green-efa-en-c6e9a55c2532e5444c3faac0534d4fac,I welcome that Gordon Brown reminded us of the,Jean Lambert,72332,36,Gordon Brown,POS,,,POS,TRUE,
icWales-9a2c8528923871d3b1c5733775eaab27,"When Gordon Brown sits down with the other G20 leaders in London next week, he will have to explain why he, of all the people sitting around the table, has the highest budget deficit.",Osborne,19267,36,Gordon Brown,NEG,,,NEG,TRUE,
icWales-950325c641525ade13b152c25f1f66a8,"When it comes to plans for a second fiscal stimulus, I say this to Gordon Brown: enough is enough. We will not let you play roulette with the public finances yet again.",Osborne,19267,36,Gordon Brown,NEG,,,NEG,TRUE,
guardian-3d65d21c36244b37de8f22aaf1ba5750,One of the side-effects of quantitative easing will be a negative impact on pension funds and pensioners. Yet again pensioners are having to pay the price for Gordon Brown's age of irresponsibility.,Theresa May,36170,36,Gordon Brown,NEG,,,NEG,TRUE,
telegraph-0a4ddb512e23ffffdbb69dacb9c40dd7,This is a direct result of Gordon Brown's reckless failure to provide enough prison places. Releasing criminals early has already resulted in three murders and over a thousand other crimes. It is unacceptable and Ministers must scrap this policy now.,Dominic Grieve,39972,36,Gordon Brown,NEG,,,NEG,TRUE,
ft-8d8d5002720413368b73f501ed238455,Ask Mr Zapatero.,Solbes,55,45,JosÇ Luis Rodr°guez Zapatero,,,,,TRUE,
AfghanistanSun-2668b893403300b370690263170f0cce,"We are interested in continuity, stability and legitimacy in the period between the formal end of President Karzai's mandate on May 22 until August 20,",Scheffer,86,49,Hamid Karzai,,,,,TRUE,
AfghanistanSun-c14713b500822bd7192023c77c6207b7,"There's a great concern about President Karzai,",David Ignatius,110616,49,Hamid Karzai,NEG,,,NEG,TRUE,
HindustanTimes-b74cb8f53b5e2d514164dbfe6909b4d9,"This is a magnificent result for Rajoy. It is going to shut up many (of his critics) and put wind in his sails,",Antonio Perez,50598,53,Mariano Rajoy,POS,,,POS,TRUE,
alertnet-1fc147bf008f22add3f03769cc7df2a2,"If the AK Party falls below 40 percent and loses Istanbul, this will be serious for Erdogan,",Murat Yetkin,102664,58,Recep Tayyip Erdogan,NEG,,,NEG,TRUE,
rferl-4630230cabe41fb42b52a87e3d13d73f,"If the AK Party falls below 40 percent and loses Istanbul, this will be serious for Erdogan,",Murat Yetkin,102664,58,Recep Tayyip Erdogan,NEG,,,NEG,TRUE,
allafrica-dbbcf843ac7af5db634c45992156993b,"I want to thank His Excellency, the President of Zimbabwe, Robert Mugabe,",Biti,116718,67,Robert Mugabe,POS,,,POS,TRUE,
zimonline-c6619705bf62988e87086228eb9d71eb,"The message this sends out is that President Mugabe is still supportive of the criminal and lawless behaviour of his officials who want to loot and grab,",Robertson,11483,67,Robert Mugabe,NEG,,,NEG,TRUE,
WashingtonPost_B-8c487303cf7536e6423a6b61ce3d335e,"No, we have given Mr. Mugabe enough time,",Tutu,2984,67,Robert Mugabe,NEG,,,NEG,TRUE,
zimonline-5c1021f85e6e09ea2363294609212b7e,"This is very unfair to the Zimbabwean people. Because here is Mugabe, he is a factor. He is there. He leads a party that has been in government for over 20 years,",Zuma,240,67,Robert Mugabe,,,,NEG,FALSE,
AfghanistanSun-239f3fcc3d94e98c69971ae1b9b9b20f,"Like Slobodan Milosevic or Charles Taylor, Omar al-Bashir's destiny is to face justice,",Moreno Ocampo,19143,72,Slobodan Milosevic,NEG,,,NEG,TRUE,
xinhuanet_en-48e201bf5004a34fad03983f996f2f6a,You know the secretary-general (Jaap de Hoop Scheffer) has said recently that Iran should be involved in a regional approach in regard of Afghanistan.,Romero,224672,86,Jaap de Hoop Scheffer,,,,,TRUE,
peopledaily-67420c0620df5f9112dc7e721ed996b0,You know the secretary-general (Jaap de Hoop Scheffer) has said recently that Iran should be involved in a regional approach in regard of Afghanistan.,Romero,224672,86,Jaap de Hoop Scheffer,,,,,TRUE,
AfghanistanSun-df94792152d9e804e34602fd0d8c5d1a,"But in a campaign, this is a heart-and-soul matter. You don't sign up unless you have absolute confidence in the leader. I had in Morris and I certainly do with Anna. But not with Latham.",Latham,87,87,Mark Latham,NEG,,,NEG,TRUE,
channelnewsasia-61ff5a53b4047b324c2b0f0bffe50cbe,"The market was hyped up on hopes that Chinese Premier Wen Jiabao would dazzle us with a stimulating stimulus plan,",Phil Flynn,1770,112,Wen Jiabao,NEG,,,NEG,TRUE,
thedailystarBD-e4ac51dc4f1b3be1287bab555941f14b,"The market was hyped up on hopes that Chinese Premier Wen Jiabao would dazzle us with a stimulating stimulus plan,",Phil Flynn,1770,112,Wen Jiabao,NEG,,,NEG,TRUE,
independent-baf04421d29612d9506a6b2b2228c926,"At the beginning he (Beckham) was set to train with us for two months and I didn't think about playing him,",Ancelotti,50812,124,David Beckham,,,,,TRUE,
msnbc-54521f098e3b8c039bdc327d8e1323c1,"We are going ahead with the operations and we are on the right track, but it's not yet official that Beckham will stay at Milan,",Galliani,986,124,David Beckham,,,,,TRUE,
NPRnews-4872908b24d922224dffc8e06aae2e11,"They [Fox and Calderon] have stirred the hornet's nest, and people in the cartels and the military are getting killed,",Garcia,236146,128,Vicente Fox,NEG,,,NEG,TRUE,
NPRnews-a6e0a18e75b9d8bd0cdbc9b7ecd3e4d0,"They [Fox and Calderon] have stirred the hornet's nest, and people in the cartels and the military are getting killed,",Garcia,236146,128,Vicente Fox,NEG,,,NEG,TRUE,
HonululuAdvetrtiser-9c87610f2a01c578f776ce8e72b928b4,"I will discuss it with Mandela,",Jordaan,3978,133,Nelson Mandela,,,,,TRUE,
rediff-bdecf7e5c0bd450a50c42bb8f6e5e901,"The country wants to know from Prime Minster Manmohan Singh about this money that has simply vanished,",Modi,1231,149,Manmohan Singh,NEG,,,NEG,TRUE,
apakistannews-ab3f2bdf0f3aa6dba9774e81de5d7b35,I have the utmost respect for Prime Minister Manmohan Singh and Sonia Gandhi. I have faith in Manmohan Singh and I have no problem in the alliance.,Yadav,2399,149,Manmohan Singh,POS,,,POS,TRUE,
HindustanTimes-00d17d8acc969afc4d277d5eaec1fd96,Manmohan Singh is the prime ministerial candidate of the Congress. He is not the prime ministerial candidate of the UPA.,Prasad Yadav,2399,149,Manmohan Singh,NEG,,,NEG,TRUE,
HindustanTimes-6d5a302cd78b9ec2059f16f89430b056,"My position is the same, my position is not going to change. The Congress party candidate for prime minister is Manmohan Singh. What more can I say?",Gandhi,337,149,Manmohan Singh,NEG,,,NEG,TRUE,
indiatimes-f1a51382d4e3c552a25c1375e615f791,"We have come out of UPA and will be joining AIADMK. Post-poll, all my leaders have to get together and see what is there. They will take a call after the election. We had good relations with Congress and I had good personal relations with PM Manmohan Singh and UPA chairperson Sonia Gandhi. Politics is different and personal life is different,",Ramadoss,56540,149,Manmohan Singh,POS,,,,FALSE,
HindustanTimes-9d319ab65c4c8dce3e1ebf991d9a8c42,"My position is the same, my position is not going to change. The Congress party candidate for prime minister is Manmohan Singh. What more can I say?",Gandhi,337,149,Manmohan Singh,,,,,TRUE,
financialexpress-d50b3d94a3b3a7c6c54e30470e7ea3cc,who could be weaker than Manmohan Singh as the Prime Minister who could not even remove a senior Cabinet minister for not attending a single Cabinet meeting for one full year,Modi,1231,149,Manmohan Singh,NEG,,,NEG,TRUE,
HindustanTimes-94207ab6c1e2a163b316d9999096b570,"My position is the same, my position is not going to change. The Congress party candidate for prime minister is Manmohan Singh. What more can I say?",Gandhi,337,149,Manmohan Singh,,,,,TRUE,
HindustanTimes-95d247bd3c5d5874e3ea839741dafe4d,"My position is the same, my position is not going to change. The Congress party candidate for prime minister is Manmohan Singh. What more can I say?",Gandhi,337,149,Manmohan Singh,,,,,TRUE,
HindustanTimes-650d37688d31d5d27ac9a4d423fa2dbf,"My position is the same, my position is not going to change. The Congress party candidate for prime minister is Manmohan Singh. What more can I say?",Gandhi,337,149,Manmohan Singh,,,,,TRUE,
javno-en-ab328a7baa691375d7764703ca21d181,"I don't know if there will be more talks with Netanyahu or where they will lead,",Barak,965,167,Benjamin Netanyahu,,,,,TRUE,
jpost-2c9d099e3c5770b1fe4ccf64d88dfa91,"I have no doubt that with Netanyahu's government here we will have good and positive relations with the Obama administration,",Lieberman,776,167,Benjamin Netanyahu,POS,,,POS,TRUE,
jrep-639b7ef750134e1d64580b63568c0e80,"This is a fundamental choice Bibi [Likud leader Binyamin Netanyahu] must make - will he go with the Right, or with us? [A national unity government] should give an equal partnership and have diplomatic understandings, otherwise there will be no deal,",Livni,1810,167,Benjamin Netanyahu,,,,,TRUE,
haaretz-d3fda40f7f0596a1157fae67a98bbb82,"Now we have 53 lawmakers tied into coalition agreements headed by Benjamin Netanyahu and in the coming days we will work to broaden the parliamentary base for support for his government,",Saar,10352,167,Benjamin Netanyahu,POS,,,NEG,FALSE,
guardian-3b1b5b8234b14f4d81aa5d1f1bbf597e,"I am not afraid of Binyamin Netanyahu,",Barak,965,167,Benjamin Netanyahu,NEG,,,NEG,TRUE,
metimes-b9c65af30291a8a40febbfd91490a8e3,"Mr Netanyahu is conscious of Obama's positions and he understands that one must resolve the Israeli-Palestinian conflict that is at the heart of a regional peace arrangement,",Yitzhak Herzog,114726,167,Benjamin Netanyahu,,,,NEG,FALSE,
bignewsnetwork-palestine-78fb276bd64d335498ddcee29e66e11b,"I am not afraid of Benjamin Netanyahu. I won't serve as a fig leaf to anyone, and I won't be anyone's dead weight. We will be the counter force that will prevent the formation of a narrow right wing government, and ensure the establishment of a real government that will take care of the Israeli people,",Barak,965,167,Benjamin Netanyahu,NEG,,,NEG,TRUE,
CH-5fa010f79d03edfe6b98a8aa85b4a94f,"It would probably not be declared directly but Netanyahu's government will respect the idea of the two states,",Havel,1090,167,Benjamin Netanyahu,,,,,TRUE,
EUpolitix-fa8ebb18eb59fe9576e40c21910ee145,"I'm delighted that the environment ministers have basically defied president Barroso and upheld the rights of individual countries to maintain their GMO bans,",Lucas,25939,189,JosÇ Manuel Dur?o Barroso,NEG,,,NEG,TRUE,
telegraph-290ba2f6b4fbb2b586777ad35d1c21d9,"Through sheer force of will Thatcher carried along with her not only her own government, but that of the United States as well.",Peter Robinson,1850,199,Margaret Thatcher,POS,,,POS,TRUE,
guardian-b9eacda9195a3dfddfd277797a8fd31a,"who stands accused of walking straight into Margaret Thatcher's carefully laid trap. He walked in to an extent, at a speed, and with a lack of restraint that she could not, in her wildest dreams, have hoped for.",Kinnock,1112,199,Margaret Thatcher,NEG,,,NEG,TRUE,
xinhuanet_en-b7981f144fed37d522785392859d0f03,"Whilst in negotiations, Olmert and his government were busy drawing up plans for the devastating assault on Gaza, and approving the rapid expansion of Israeli settlements,",Erekat,162,213,Ehud Olmert,NEG,,,NEG,TRUE,
peopledaily-27c5dead9697554cc177cec1f2dc7ee1,"Whilst in negotiations, Olmert and his government were busy drawing up plans for the devastating assault on Gaza, and approving the rapid expansion of Israeli settlements,",Erekat,162,213,Ehud Olmert,NEG,,,NEG,TRUE,
bignewsnetwork-palestine-6c197d02d7c32e0c6d38152538908b2b,"We came here 10 days ago to be a reminder that this window is closing and to bring the matter to a public test. We hoped that Prime Minister Ehud Olmert would take advantage of his last days in office to bring Gilad home. Unfortunately, we were wrong,",Shalit,455717,213,Ehud Olmert,NEG,,,NEG,TRUE,
jpost-f8b6966015656060ba0fd90d0e373f22,"It's been 1,000 days, in which Prime Minister Ehud Olmert, who sent you on the mission [during which you were kidnapped], has not been able to find a way to bring you home. We are not even close to that day,",Schalit,455717,213,Ehud Olmert,NEG,,,NEG,TRUE,
washtimes-022dcd2d3b185095b2ed603f8b18d9a6,"Ultimately, history will judge Olmert's three-plus years as prime minister more favorably than is the accepted contemporary analysis,",Mark Regev,83335,213,Ehud Olmert,POS,,,POS,TRUE,
news-yahoo-4f713456edd8276ee2970aaa54dceee4,"Our recent history in this country is we look for ?hooks,' people who get you really fired up Ted Kennedy Newt Gingrich Hillary Clinton ,",Carville,14042,226,Ted Kennedy,POS,,,POS,TRUE,
news-yahoo-1b8ad1155d42e008f55eabebd42c1adb,"Before it's all over, it'll be called the Ted Kennedy Memorial Health Care bill ,",Limbaugh,249067,226,Ted Kennedy,NEG,,,NEG,TRUE,
usaToday-47a54bbd5d6cf1808fadb2bce72f4215,"I thought it would be appropriate to play tonight, because no one has done more than Senator Ted Kennedy to help resolve the problems of Ireland,",Taylor,25157,226,Ted Kennedy,POS,,,POS,TRUE,
CH-73bd4ed93226b0857a3c645610bca687,"It seemed in the past that the ODS was reluctant to name things with their real names. Only after they came to realise that Klaus has completely betrayed them they are starting doing so,",Bursik,439790,229,Vaclav Klaus,NEG,,,NEG,TRUE,
rferl-cfaca0b705738c6f2ecf5601b888bfec,"Instead of there being a trial in Moscow of Khodorkovsky, there should be a hearing in Moscow to determine who has been behind the attack and destruction of Yukos,",Amsterdam,6766,232,Mikhail Khodorkovsky,POS,,,POS,TRUE,
thestar-9638bb11bbce4402109491f41a655099,"You simply cannot underestimate the importance of the Khodorkovsky case -- this process will show where Russia is going,",Robert Amsterdam,6766,232,Mikhail Khodorkovsky,NEG,,,NEG,TRUE,
time-6524491552fbbcdc05d7585805ac6040,"The only difference between [Khodorkovsky] and any other large-scale business at the time was his anti-Kremlin stance,",Tatiana Lokshina,294165,232,Mikhail Khodorkovsky,NEG,,,NEG,TRUE,
bday-5e6040dafcd414e1a69b1ac11c43e1f4,"Lower-income people are very aware of the national debate, and are therefore pretty informed. This election is about whether you think Zuma is a hero or a villain,",Friedman,17601,240,Jacob Zuma,NEG,,,NEG,TRUE,
MailGuardian-602ce47a1b40044fad122a25b4ca5df0,"All these men, like Zuma incidentally, actually were comfortable in their own skin. They were people who knew themselves and their limitations and therefore they were able to make the right judgement calls,",Leon,313,240,Jacob Zuma,POS,,,POS,TRUE,
zimonline-0408afc3e90934d57f3cbdb3016754d0,"He (Zuma) was very concerned about the situation,",Biti,116718,240,Jacob Zuma,,,,,TRUE,
xinhuanet_en-921286c0cc0c9f99f3c3ca82e8b7f1c7,My daughter is 18 months old and if you asked me what will happen first -- will she get her pension or will Zuma be prosecuted -- I will say she will get her pension.,Matshiqi,18411,240,Jacob Zuma,NEG,,,NEG,TRUE,
iol-2266ca533c193f27efe8ac7bab36a4af,"Thus, I write to you today to request the same opportunity to address the same congregation that Mr Zuma addressed,",Holomisa,2086,240,Jacob Zuma,,,,,TRUE,
iol-1c9a89f9c8c8c28ef1c6e61d217e189e,"I do not believe that the left has taken over. Those who think so, must look at the ANC statements and the statements of our likely president (Jacob Zuma) and find out if there is likeliness of moving to the left,",Friedman,17601,240,Jacob Zuma,,,,,TRUE,
